Pitcher,AutoPitchType,PitchCall,Date
"Gonzalez, Aidan",Four-Seam,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Slider,FoulBall,10/13/2023
"Gonzalez, Aidan",Four-Seam,BallCalled,10/13/2023
"Gonzalez, Aidan",Sinker,FoulBall,10/13/2023
"Gonzalez, Aidan",Slider,FoulBall,10/13/2023
"Gonzalez, Aidan",Four-Seam,BallCalled,10/13/2023
"Gonzalez, Aidan",Sinker,InPlay,10/13/2023
"Reddemann, Logan",Curveball,BallCalled,10/13/2023
"Reddemann, Logan",Sinker,StrikeSwinging,10/13/2023
"Reddemann, Logan",Sinker,FoulBall,10/13/2023
"Reddemann, Logan",Slider,BallCalled,10/13/2023
"Reddemann, Logan",Slider,StrikeCalled,10/13/2023
"Reddemann, Logan",Sinker,StrikeCalled,10/13/2023
"Reddemann, Logan",Slider,StrikeSwinging,10/13/2023
"Reddemann, Logan",Slider,StrikeSwinging,10/13/2023
"Reddemann, Logan",Sinker,StrikeSwinging,10/13/2023
"Reddemann, Logan",Sinker,InPlay,10/13/2023
"Gonzalez, Aidan",Slider,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Sinker,InPlay,10/13/2023
"Gonzalez, Aidan",Four-Seam,StrikeSwinging,10/13/2023
"Gonzalez, Aidan",Curveball,HitByPitch,10/13/2023
"Gonzalez, Aidan",Slider,BallCalled,10/13/2023
"Gonzalez, Aidan",Slider,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Four-Seam,InPlay,10/13/2023
"Gonzalez, Aidan",Four-Seam,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Slider,BallCalled,10/13/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/13/2023
"Gonzalez, Aidan",Slider,BallCalled,10/13/2023
"Gonzalez, Aidan",Changeup,BallCalled,10/13/2023
"Gonzalez, Aidan",Sinker,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Slider,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Slider,BallCalled,10/13/2023
"Gonzalez, Aidan",Four-Seam,InPlay,10/13/2023
"Gonzalez, Aidan",Four-Seam,StrikeCalled,10/13/2023
"Gonzalez, Aidan",Sinker,InPlay,10/13/2023
"LaMaison, Tristan",Changeup,BallCalled,10/13/2023
"LaMaison, Tristan",Sinker,StrikeCalled,10/13/2023
"LaMaison, Tristan",Four-Seam,InPlay,10/13/2023
"LaMaison, Tristan",Four-Seam,StrikeCalled,10/13/2023
"LaMaison, Tristan",Sinker,BallCalled,10/13/2023
"LaMaison, Tristan",Slider,BallCalled,10/13/2023
"LaMaison, Tristan",Sinker,FoulBall,10/13/2023
"LaMaison, Tristan",Slider,FoulBall,10/13/2023
"LaMaison, Tristan",Four-Seam,InPlay,10/13/2023
"LaMaison, Tristan",Four-Seam,BallCalled,10/13/2023
"LaMaison, Tristan",Changeup,BallCalled,10/13/2023
"LaMaison, Tristan",Sinker,InPlay,10/13/2023
"LaMaison, Tristan",Curveball,BallCalled,10/13/2023
"LaMaison, Tristan",Curveball,InPlay,10/13/2023
"Harrison, Dallin",Four-Seam,InPlay,10/13/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/13/2023
"Harrison, Dallin",Four-Seam,StrikeCalled,10/13/2023
"Harrison, Dallin",Slider,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,StrikeSwinging,10/13/2023
"Harrison, Dallin",Four-Seam,InPlay,10/13/2023
"Harrison, Dallin",Four-Seam,StrikeSwinging,10/13/2023
"Harrison, Dallin",Changeup,FoulBall,10/13/2023
"Harrison, Dallin",Four-Seam,InPlay,10/13/2023
"Harrison, Dallin",Four-Seam,StrikeCalled,10/13/2023
"Harrison, Dallin",Changeup,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,BallCalled,10/13/2023
"Harrison, Dallin",Four-Seam,InPlay,10/13/2023
"Harrison, Dallin",Four-Seam,FoulBall,10/13/2023
"Harrison, Dallin",Four-Seam,InPlay,10/13/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,FoulBall,10/13/2023
"Harrison, Dallin",Sinker,BallCalled,10/13/2023
"Harrison, Dallin",Sinker,FoulBall,10/13/2023
"Harrison, Dallin",Slider,InPlay,10/13/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/13/2023
"Harrison, Dallin",Slider,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,StrikeSwinging,10/13/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,StrikeSwinging,10/13/2023
"Harrison, Dallin",Changeup,StrikeSwinging,10/13/2023
"Harrison, Dallin",Four-Seam,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,InPlay,10/13/2023
"Harrison, Dallin",Changeup,StrikeSwinging,10/13/2023
"Harrison, Dallin",Sinker,BallCalled,10/13/2023
"Harrison, Dallin",Changeup,StrikeCalled,10/13/2023
"Goodcase, JD",Changeup,StrikeSwinging,10/13/2023
"Goodcase, JD",Slider,StrikeCalled,10/13/2023
"Goodcase, JD",Slider,BallCalled,10/13/2023
"Goodcase, JD",Slider,BallCalled,10/13/2023
"Goodcase, JD",Four-Seam,BallCalled,10/13/2023
"Goodcase, JD",Four-Seam,BallCalled,10/13/2023
"Goodcase, JD",Slider,BallCalled,10/13/2023
"Goodcase, JD",Four-Seam,BallCalled,10/13/2023
"Goodcase, JD",Slider,StrikeSwinging,10/13/2023
"Goodcase, JD",Slider,FoulBall,10/13/2023
"Goodcase, JD",Slider,BallCalled,10/13/2023
"Goodcase, JD",Slider,InPlay,10/13/2023
"Goodcase, JD",Four-Seam,InPlay,10/13/2023
"Goodcase, JD",Four-Seam,InPlay,10/13/2023
"Goodcase, JD",Slider,StrikeSwinging,10/13/2023
